X,Y,bio1,bio3,bio7,bio12
,,,,,
147.096394,-36.935687,9.408354,40.790546,23.0895,1292.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.384504,-36.299613,6.1706977,41.119827,23.4645,1692.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.451831,-35.998449,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461452,-36.00879,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.457839,-36.002992,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461452,-36.00879,6.928167,41.78015,23.69975,1647.0
148.451831,-35.998449,8.269542,41.030262,23.858,1440.0
148.458358,-36.005284,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.451831,-35.998449,8.269542,41.030262,23.858,1440.0
148.461452,-36.00879,6.928167,41.78015,23.69975,1647.0
148.458838,-36.003016,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459499,-36.00097,6.928167,41.78015,23.69975,1647.0
148.451335,-35.999862,8.269542,41.030262,23.858,1440.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.452076,-35.998518,8.269542,41.030262,23.858,1440.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.448522,-36.000094,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.448522,-36.000094,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.402379,-36.006917,6.928167,41.78015,23.69975,1647.0
148.402379,-36.006917,6.928167,41.78015,23.69975,1647.0
148.332495,-36.432909,7.8357186,41.597527,23.50275,1500.0
148.397117,-36.381057,6.881583,42.268078,23.133,1544.0
148.397117,-36.381057,6.881583,42.268078,23.133,1544.0
148.390944,-36.302901,6.1706977,41.119827,23.4645,1692.0
148.390944,-36.302901,6.1706977,41.119827,23.4645,1692.0
148.332495,-36.432909,7.8357186,41.597527,23.50275,1500.0
148.39807,-35.950739,8.269542,41.030262,23.858,1440.0
148.39807,-35.950739,8.269542,41.030262,23.858,1440.0
148.451831,-35.998449,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.394188,-35.958231,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.311644,-36.44677,7.8357186,41.597527,23.50275,1500.0
148.37793,-36.411948,6.881583,42.268078,23.133,1544.0
148.37793,-36.411948,6.881583,42.268078,23.133,1544.0
148.397117,-36.381057,6.881583,42.268078,23.133,1544.0
148.397117,-36.381057,6.881583,42.268078,23.133,1544.0
148.390944,-36.302901,6.1706977,41.119827,23.4645,1692.0
148.332495,-36.432909,7.8357186,41.597527,23.50275,1500.0
148.311644,-36.44677,7.8357186,41.597527,23.50275,1500.0
148.390944,-36.302901,6.1706977,41.119827,23.4645,1692.0
148.332495,-36.432909,7.8357186,41.597527,23.50275,1500.0
146.435,-37.15167,9.628083,40.316017,22.47225,1353.0
146.43806,-37.15361,9.628083,40.316017,22.47225,1353.0
146.43861,-37.15417,9.628083,40.316017,22.47225,1353.0
146.43389,-37.15056,9.628083,40.316017,22.47225,1353.0
147.14228,-36.98542,9.408354,40.790546,23.0895,1292.0
146.43722,-37.15333,9.628083,40.316017,22.47225,1353.0
146.44028,-37.15111,9.628083,40.316017,22.47225,1353.0
146.43611,-37.15194,9.628083,40.316017,22.47225,1353.0
147.15803,-36.99081,9.408354,40.790546,23.0895,1292.0
146.42889,-37.15389,9.628083,40.316017,22.47225,1353.0
147.14453,-36.98362,9.408354,40.790546,23.0895,1292.0
147.15795,-36.9548,9.408354,40.790546,23.0895,1292.0
146.42278,-37.14667,9.628083,40.316017,22.47225,1353.0
148.451584,-35.998885,8.269542,41.030262,23.858,1440.0
147.21844,-36.89697,6.8537397,39.09556,22.146751,1519.0
147.26861,-36.7995,9.479864,41.633244,23.43775,1303.0
147.15833,-36.95833,9.408354,40.790546,23.0895,1292.0
148.338776,-36.430986,6.881583,42.268078,23.133,1544.0
148.395217,-36.550512,8.420698,43.542496,23.142,1223.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.311644,-36.44677,7.8357186,41.597527,23.50275,1500.0
148.397117,-36.381057,6.881583,42.268078,23.133,1544.0
148.37793,-36.411948,6.881583,42.268078,23.133,1544.0
148.311644,-36.44677,7.8357186,41.597527,23.50275,1500.0
148.390944,-36.302901,6.1706977,41.119827,23.4645,1692.0
148.332495,-36.432909,7.8357186,41.597527,23.50275,1500.0
148.397117,-36.381057,6.881583,42.268078,23.133,1544.0
148.332495,-36.432909,7.8357186,41.597527,23.50275,1500.0
148.37793,-36.411948,6.881583,42.268078,23.133,1544.0
148.390944,-36.302901,6.1706977,41.119827,23.4645,1692.0
147.15803,-36.99081,9.408354,40.790546,23.0895,1292.0
146.43722,-37.15333,9.628083,40.316017,22.47225,1353.0
146.43389,-37.15056,9.628083,40.316017,22.47225,1353.0
146.44028,-37.15111,9.628083,40.316017,22.47225,1353.0
146.43611,-37.15194,9.628083,40.316017,22.47225,1353.0
147.15795,-36.9548,9.408354,40.790546,23.0895,1292.0
146.42889,-37.15389,9.628083,40.316017,22.47225,1353.0
146.435,-37.15167,9.628083,40.316017,22.47225,1353.0
146.43861,-37.15417,9.628083,40.316017,22.47225,1353.0
147.14453,-36.98362,9.408354,40.790546,23.0895,1292.0
146.43806,-37.15361,9.628083,40.316017,22.47225,1353.0
147.14228,-36.98542,9.408354,40.790546,23.0895,1292.0
147.15833,-36.95833,9.408354,40.790546,23.0895,1292.0
147.21844,-36.89697,6.8537397,39.09556,22.146751,1519.0
148.38327,-36.385102,6.881583,42.268078,23.133,1544.0
148.38327,-36.385102,6.881583,42.268078,23.133,1544.0
148.385203,-36.384799,6.881583,42.268078,23.133,1544.0
146.43611,-37.15194,9.628083,40.316017,22.47225,1353.0
148.451335,-35.999862,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461825,-36.003169,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
146.435,-37.15167,9.628083,40.316017,22.47225,1353.0
146.43861,-37.15417,9.628083,40.316017,22.47225,1353.0
146.43389,-37.15056,9.628083,40.316017,22.47225,1353.0
146.43806,-37.15361,9.628083,40.316017,22.47225,1353.0
146.44028,-37.15111,9.628083,40.316017,22.47225,1353.0
146.42889,-37.15389,9.628083,40.316017,22.47225,1353.0
146.43722,-37.15333,9.628083,40.316017,22.47225,1353.0
147.14228,-36.98542,9.408354,40.790546,23.0895,1292.0
148.389243,-35.948723,8.269542,41.030262,23.858,1440.0
148.389243,-35.948723,8.269542,41.030262,23.858,1440.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.449367,-35.99902,8.269542,41.030262,23.858,1440.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
147.14228,-36.98542,9.408354,40.790546,23.0895,1292.0
147.15795,-36.9548,9.408354,40.790546,23.0895,1292.0
146.43861,-37.15417,9.628083,40.316017,22.47225,1353.0
146.43611,-37.15194,9.628083,40.316017,22.47225,1353.0
146.43389,-37.15056,9.628083,40.316017,22.47225,1353.0
146.42278,-37.14667,9.628083,40.316017,22.47225,1353.0
146.44028,-37.15111,9.628083,40.316017,22.47225,1353.0
146.43806,-37.15361,9.628083,40.316017,22.47225,1353.0
146.42889,-37.15389,9.628083,40.316017,22.47225,1353.0
146.43722,-37.15333,9.628083,40.316017,22.47225,1353.0
146.435,-37.15167,9.628083,40.316017,22.47225,1353.0
147.14453,-36.98362,9.408354,40.790546,23.0895,1292.0
147.15803,-36.99081,9.408354,40.790546,23.0895,1292.0
147.26861,-36.7995,9.479864,41.633244,23.43775,1303.0
148.382818,-35.963069,8.269542,41.030262,23.858,1440.0
148.381497,-35.962949,8.269542,41.030262,23.858,1440.0
148.382818,-35.963069,8.269542,41.030262,23.858,1440.0
148.382818,-35.963069,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459499,-36.00097,6.928167,41.78015,23.69975,1647.0
148.459499,-36.00097,6.928167,41.78015,23.69975,1647.0
148.459499,-36.00097,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459393,-36.002441,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.451335,-35.999862,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.451335,-35.999862,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
147.14228,-36.98542,9.408354,40.790546,23.0895,1292.0
148.383556,-36.365017,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.382837,-36.364682,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.382837,-36.364682,6.881583,42.268078,23.133,1544.0
148.382837,-36.364682,6.881583,42.268078,23.133,1544.0
148.382837,-36.364682,6.881583,42.268078,23.133,1544.0
148.382837,-36.364682,6.881583,42.268078,23.133,1544.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461727,-36.009264,6.928167,41.78015,23.69975,1647.0
148.459266,-36.005833,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459123,-36.004022,6.928167,41.78015,23.69975,1647.0
148.461089,-36.009624,6.928167,41.78015,23.69975,1647.0
148.451335,-35.999862,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.451335,-35.999862,8.269542,41.030262,23.858,1440.0
148.451335,-35.999862,8.269542,41.030262,23.858,1440.0
148.461089,-36.009624,6.928167,41.78015,23.69975,1647.0
148.461727,-36.009264,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461089,-36.009624,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461473,-36.009952,6.928167,41.78015,23.69975,1647.0
148.461727,-36.009264,6.928167,41.78015,23.69975,1647.0
148.461473,-36.009952,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461727,-36.009264,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461727,-36.009264,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
